table_id,title,subj,subj_id
950,"Rata-Rata Konsumsi per Kapita Seminggu Beberapa Macam Bahan Makanan Penting, 2007-2024",Konsumsi dan Pengeluaran,5
945,"RataRata Pengeluaran per Kapita Sebulan Untuk Makanan dan Bukan Makanan di Daerah Perkotaan dan Perdesaan Menurut Provinsi (rupiah), 2011-2024",Konsumsi dan Pengeluaran,5
944,"Persentase RataRata Pengeluaran per Kapita Sebulan Untuk Makanan dan Bukan Makanan di Daerah Perdesaan Menurut Provinsi, 2007-2024",Konsumsi dan Pengeluaran,5
940,"Persentase RataRata Pengeluaran per Kapita Sebulan Untuk Makanan dan Bukan Makanan di Daerah Perkotaan Menurut Provinsi, 2007-2024",Konsumsi dan Pengeluaran,5
941,"RataRata Pengeluaran per Kapita Sebulan Untuk Makanan dan Bukan Makanan di Daerah Perdesaan Menurut Provinsi (rupiah), 2007-2024",Konsumsi dan Pengeluaran,5
943,"Rata-Rata Pengeluaran per Kapita Sebulan Untuk Makanan dan Bukan Makanan di Daerah Perkotaan Menurut Provinsi (rupiah), 2007-2024",Konsumsi dan Pengeluaran,5
942,"RataRata Pengeluaran per Kapita Sebulan di Daerah Perkotaan Menurut Kelompok Barang dan Golongan Pengeluaran, 2013-2024",Konsumsi dan Pengeluaran,5
937,"Persentase Pengeluaran Rata-rata per Kapita Sebulan Menurut Kelompok Barang, Indonesia, 1999, 2002-2024",Konsumsi dan Pengeluaran,5
2256,"Posisi Kredit/Pembiayaan (Rupiah dan Valuta Asing) pada Bank Umum Menurut Kelompok Bank dan BPR/BPR Syariah (Rupiah) kepada Pihak Bukan Bank (miliar rupiah), 20142023",Keuangan,13
2015,"Impor Kedelai menurut Negara Asal Utama, 2017-2023",Ekspor-Impor,8
1812,Sistem Neraca Sosial Ekonomi Indonesia Tahun 2022 (84 x 84),Neraca Sosial Ekonomi,104
1186,Sistem Neraca Sosial Ekonomi Indonesia Tahun 2022 (55 x 55),Neraca Sosial Ekonomi,104
1185,Sistem Neraca Sosial Ekonomi Indonesia Tahun 2022 (9 x 9),Neraca Sosial Ekonomi,104
2019,"Ekspor Tanaman Obat, Aromatik, dan Rempah-Rempah menurut Negara Tujuan Utama, 2012-2023",Ekspor-Impor,8
1032,"Ekspor Bijih Tembaga Menurut Negara Tujuan Utama, 2012-2023",Ekspor-Impor,8
1010,"Nilai Ekspor Menurut Negara Tujuan Utama (Nilai FOB: juta US$), 2000-2023",Ekspor-Impor,8
1008,Nilai Ekspor Menurut Pelabuhan Utama (Nilai FOB: juta US$) 2000-2023,Ekspor-Impor,8
1004,Nilai Ekspor dan Impor Migas (juta US$) 1996-2023,Ekspor-Impor,8
1009,"Volume Ekspor Menurut Negara Tujuan Utama (Berat bersih: ribu ton), 2000-2023",Ekspor-Impor,8
1007,Volume Ekspor Menurut Pelabuhan Utama (Berat bersih: ribu ton) 1996-2023,Ekspor-Impor,8
1034,"Ekspor Batu Bara Menurut Negara Tujuan Utama, 2012-2023",Ekspor-Impor,8
2028,"Ekspor Barang Perhiasan dan Barang Berharga Menurut Negara Tujuan Utama, 2012-2023",Ekspor-Impor,8
2033,"Ekspor Besi/Baja Menurut Negara Tujuan Utama, 2012-2023",Ekspor-Impor,8
2020,"Ekspor Buah-Buahan Tahunan menurut Negara Tujuan Utama, 2012-2023",Ekspor-Impor,8
1013,"Ekspor Gas Alam Menurut Negara Tujuan Utama, 2000-2023",Ekspor-Impor,8
1012,"Ekspor Hasil Minyak Menurut Negara Tujuan Utama, 2000-2023",Ekspor-Impor,8
2031,"Ekspor Kendaraan Bermotor Roda Empat atau Lebih menurut Negara Tujuan Utama, 2012-2023",Ekspor-Impor,8
2021,"Ekspor Lada Hitam Menurut Negara Tujuan Utama, 2012- 2023",Ekspor-Impor,8
2023,"Ekspor Lada Putih menurut Negara Tujuan Utama, 2012-2023",Ekspor-Impor,8
2035,"Ekspor Lignit menurut Negara Tujuan Utama, 2012-2023",Ekspor-Impor,8
2034,"Ekspor Logam Dasar Mulia Menurut Negara Tujuan Utama, 2012-2023",Ekspor-Impor,8
1011,"Ekspor Minyak Bumi Mentah Menurut Negara Tujuan Utama, 2000-2023",Ekspor-Impor,8
1026,"Ekspor Minyak Kelapa Sawit Menurut Negara Tujuan Utama, 2012-2023",Ekspor-Impor,8
2026,"Ekspor Pakaian Jadi (Konveksi) dari Tekstil Menurut Negara Tujuan Utama, 2012-2023",Ekspor-Impor,8
2027,"Ekspor Peralatan Listrik menurut Negara Tujuan Utama, 2012-2023",Ekspor-Impor,8
2025,"Ekspor Rumput Laut dan Ganggang Lainnya menurut Negara Tujuan Utama, 2012-2023",Ekspor-Impor,8
2022,"Ekspor Sarang Burung menurut Negara Tujuan Utama, 2012-2023",Ekspor-Impor,8
2032,"Ekspor Sepatu Olahraga menurut Negara Tujuan Utama, 2012-2023",Ekspor-Impor,8
2024,"Ekspor Ikan Segar/Dingin Hasil Tangkap menurut Negara Tujuan Utama, 2012-2023",Ekspor-Impor,8
1014,"Ekspor Kopi Menurut Negara Tujuan Utama, 2000-2023",Ekspor-Impor,8
2030,"Ekspor Karet Remah Menurut Negara Tujuan Utama, 2012-2023",Ekspor-Impor,8
2029,"Ekspor Kimia Dasar Organik yang Bersumber dari Hasil Pertanian menurut Negara Tujuan Utama, 2012-2023",Ekspor-Impor,8
1177,"Jumlah Pegawai Negeri Sipil Menurut Masa Kerja dan Jenis Kelamin, 2004 - 2023",Pemerintahan,101
2245,"Rata-rata Pendapatan Bersih Pekerja Bebas Menurut Provinsi dan Kelompok Umur, 2023",Upah Buruh,19
2244,"Rata-rata Pendapatan Bersih Berusaha Sendiri Menurut Provinsi dan Lapangan Pekerjaan Utama, 2023",Upah Buruh,19
2243,"Rata-rata Pendapatan Bersih Berusaha Sendiri Menurut Provinsi dan Kelompok Umur, 2023",Upah Buruh,19
1268,"Rata-rata Laju Pertumbuhan Penduduk menurut Provinsi, 1971 - 2024",Kependudukan,12
1036,"Nilai Impor Menurut Negara Asal Utama (Nilai CIF: juta US$), 2017-2023",Ekspor-Impor,8
2016,"Impor Biji Gandum dan Meslin menurut Negara Asal Utama, 2017-2023",Ekspor-Impor,8
2010,"Impor Buah-buahan menurut Negara Asal Utama, 2018-2023",Ekspor-Impor,8
2011,"Impor Daging Sejenis Lembu menurut Negara Asal Utama, 2018-2023",Ekspor-Impor,8
2013,"Impor Garam menurut Negara Asal Utama, 2017-2023",Ekspor-Impor,8
2014,"Impor Gula menurut Negara Asal Utama, 2017-2023",Ekspor-Impor,8
2009,"Impor Sayuran Menurut Negara Asal Utama, 2018-2023",Ekspor-Impor,8
1043,"Impor Beras Menurut Negara Asal Utama, 2017-2023",Ekspor-Impor,8
1035,"Volume Impor Menurut Negara Asal Utama (Berat bersih:ribu ton), 2017-2023",Ekspor-Impor,8
1037,"Volume Impor Menurut Pelabuhan Utama (Berat bersih: ribu ton), 2017-2023",Ekspor-Impor,8
1038,"Nilai Impor Menurut Pelabuhan Utama (Nilai CIF: juta US$), 2017-2023",Ekspor-Impor,8
1044,"Impor Pupuk Menurut Negara Asal Utama, 2017-2023",Ekspor-Impor,8
2012,"Impor Tembakau menurut Negara Asal Utama, 2018-2023",Ekspor-Impor,8
1040,"Impor Barang Konsumsi, 1989-2023",Ekspor-Impor,8
1041,"Impor Bahan Baku dan Barang Penolong, 1996-2023",Ekspor-Impor,8
1042,"Impor Barang Modal, 1996-2023",Ekspor-Impor,8
1048,"Nilai Impor Kendaraan Bermotor Menurut Negara Asal Utama (Nilai CIF:juta US$), 2018-2023",Ekspor-Impor,8
1003,Volume Ekspor dan Impor Migas (Berat bersih: ribu ton) 1996-2023,Ekspor-Impor,8
1045,"Impor Semen Menurut Negara Asal Utama, 2017-2023",Ekspor-Impor,8
1047,"Impor Besi dan Baja Menurut Negara Asal Utama, 20172023",Ekspor-Impor,8
1050,"Impor Mesin/Perlengkapan Elektrik dan Bagiannya Menurut Negara Asal Utama, 2018-2023",Ekspor-Impor,8
2017,"Impor Aluminium menurut Negara Asal Utama, 2017-2023",Ekspor-Impor,8
2018,"Impor Tembaga menurut Negara Asal Utama, 2018-2023",Ekspor-Impor,8
1798,"Jumlah Pegawai Negeri Sipil Menurut Jenis Kepegawaian dan Jenis Kelamin, 2004 - 2023",Pemerintahan,101
1176,"Jumlah Pegawai Negeri Sipil Menurut Kelompok Umur dan Jenis Kelamin, 2004 - 2023",Pemerintahan,101
1175,"Jumlah Pegawai Negeri Sipil Menurut Tingkat Pendidikan dan Jenis Kelamin, 2004 - 2023",Pemerintahan,101
1164,"Jumlah Pegawai Negeri Sipil Menurut Tingkat Kepangkatan dan Jenis Kelamin, 2004-2023",Pemerintahan,101
1163,"Jumlah Pegawai Negeri Sipil Menurut Provinsi dan Jenis Kelamin, 2004-2023",Pemerintahan,101
1426,"Produksi Angkutan Kereta Api Penumpang, 2000-2022",Transportasi,17
1934,"Penduduk Berumur 15 Tahun Ke Atas yang Bekerja Selama Seminggu yang Lalu Menurut Golongan Umur dan Jumlah Jam Kerja Seluruhnya, 2008 - 2024",Tenaga Kerja,6
2181,"Total Ekonomi - Neraca Institusi Terintegrasi ( triliun rupiah), 2016 - 2023",Neraca Institusi Terintegrasi,178
2185,"Institusi Rumah Tangga Neraca Institusi Terintegrasi ( triliun rupiah), 2016 2023",Neraca Institusi Terintegrasi,178
2187,"Institusi Luar Negeri Neraca Institusi Terintegrasi ( triliun rupiah), 2016 2023",Neraca Institusi Terintegrasi,178
2183,"Institusi Korporasi Finansial Neraca Institusi Terintegrasi ( triliun rupiah), 2016 2023",Neraca Institusi Terintegrasi,178
2182,"Institusi Korporasi Non Finansial Neraca Institusi Terintegrasi ( triliun rupiah), 2016 2023",Neraca Institusi Terintegrasi,178
2186,"Institusi Lembaga non-profit yang melayani Rumah Tangga Neraca Institusi Terintegrasi (Triliun Rupiah), 2016 2023",Neraca Institusi Terintegrasi,178
2184,"Institusi Pemerintah Neraca Institusi Terintegrasi (Triliun Rupiah), 2016 2023",Neraca Institusi Terintegrasi,178
1814,Sistem Neraca Sosial Ekonomi Indonesia Tahun 2022 dalam Format SNA 1968 (44 x 44),Neraca Sosial Ekonomi,104
1815,Sistem Neraca Sosial Ekonomi Indonesia Tahun 2022 dalam Format SNA 1968 (65x65),Neraca Sosial Ekonomi,104
1420,Jumlah Penumpang Kapal di Pelabuhan Yang Diusahakan dan Tidak Diusahakan Tahun 1995-2022,Transportasi,17
1419,Bongkar Muat Barang Antar Pulau dan Luar Negeri di Pelabuhan Indonesia Tahun 1988-2022 (Ribu ton),Transportasi,17
1418,Jumlah Kunjungan Kapal di Pelabuhan Yang Diusahakan dan Tidak Diusahakan Tahun 1995-2022,Transportasi,17
1414,Jumlah Penumpang dan Barang Melalui Transportasi Kereta Api Indonesia Tahun 1987-2022,Transportasi,17
1403,Lalu Lintas Penerbangan Luar Negeri Indonesia Tahun 2003-2022,Transportasi,17
1402,Lalu Lintas Penerbangan Dalam Negeri Indonesia Tahun 2003-2022,Transportasi,17
907,"Indeks Harga Konsumen dan Inflasi Bulanan Indonesia, 2006-2023",Inflasi,3
2090,"Indeks Harga Konsumen Menurut Kelompok Pengeluaran, 2020-2023",Inflasi,3
2083,"Inflasi Indonesia Menurut Kelompok Pengeluaran, 2020-2023",Inflasi,3
1611,"Persentase Penduduk Umur 10 Tahun ke Atas yang Tidak/Belum Pernah Sekolah Menurut Provinsi, Klasifikasi Desa, dan Jenis Kelamin, 2009-2023",Gender,40
1533,"Persentase Penduduk Usia 7-24 Tahun Menurut Jenis Kelamin, Kelompok Umur, dan Partisipasi Sekolah, 2002-2023",Pendidikan,28
2081,Angka Deforestasi (Netto) Indonesia di Dalam dan di Luar Kawasan Hutan Tahun 2013-2022 (Ha/Th),Kehutanan,60
1559,Indikator Kesehatan 1995-2023,Kesehatan,30
1973,Perbandingan Indeks dan Tingkat Inflasi Desember 2023 Kota-kota di Pulau Sumatera dengan Nasional (2018=100),Inflasi,3
1974,Perbandingan Indeks dan Tingkat Inflasi Desember 2023 Kota-kota di Pulau Jawa dengan Nasional (2018=100),Inflasi,3
1975,Perbandingan Indeks dan Tingkat Inflasi Desember 2023 Kota-kota di Luar Pulau Jawa dan Sumatera dengan Nasional (2018=100),Inflasi,3
2225,"Penduduk Berumur 15 Tahun ke Atas yang Bekerja menurut Provinsi dan Status Pekerjaan Utama, 2023",Upah Buruh,19
2230,"Rata-rata Pendapatan bersih Berusaha Sendiri menurut Provinsi dan Pendidikan yang Ditamatkan, 2023",Upah Buruh,19
2197,"Rata-rata Pendapatan Bersih Pekerja Bebas Menurut Provinsi dan Lapangan Pekerjaan Utama, 2023",Upah Buruh,19
2196,"Rata-rata Pendapatan Bersih Pekerja Bebas Menurut Provinsi dan Pendidikan Tertinggi yang Ditamatkan, 2023",Upah Buruh,19
2229,"Rata-rata Upah/Gaji Bersih Sebulan Buruh/Karyawan Pegawai Menurut Kelompok Umur dan Lapangan Pekerjaan Utama, 2023",Upah Buruh,19
2228,"Rata-rata Upah/Gaji Bersih Sebulan Buruh/Karyawan/Pegawai Menurut Pendidikan Tertinggi yang Ditamatkan dan Jenis Pekerjaan Utama, 2023",Upah Buruh,19
2235,"Rata-rata Upah/Gaji Bersih sebulan Buruh/Karyawan Pegawai Menurut Pendidikan Tertinggi dan Jumlah Jam Kerja Utama, 2023",Upah Buruh,19
2234,"Rata-rata Upah/Gaji Bersih sebulan Buruh/Karyawan Pegawai Menurut Pendidikan Tertinggi dan Lapangan Pekerjaan Utama, 2023",Upah Buruh,19
2233,"Rata-rata Upah/Gaji Bersih Sebulan Buruh/Karyawan/Pegawai Menurut Provinsi dan Jenis Pekerjaan Utama, 2023",Upah Buruh,19
2231,"Rata-rata Upah/Gaji Bersih Sebulan Buruh/Karyawan/Pegawai Menurut Provinsi dan Lapangan Pekerjaan Utama, 2023",Upah Buruh,19
1046,"Impor Minyak Bumi dan Hasil-Hasil Menurut Negara Asal Utama, 2017-2022",Ekspor-Impor,8
2218,"Angka Kematian Balita (Under Five Mortality Rate/U5MR) Hasil Long Form SP2020 Menurut Provinsi, 2020",Kependudukan,12
2219,"Angka Kematian Ibu/AKI (Maternal Mortality Rate/MMR) Hasil Long Form SP2020 Menurut Provinsi, 2020",Kependudukan,12
2217,"Angka Kematian Anak (Child Mortality Rate/CMR) Hasil Long Form SP2020 Menurut Provinsi, 2020",Kependudukan,12
2221,"Angka Kematian Anak (Child Mortality Rate/CMR) Hasil Long Form SP2020 Menurut Provinsi/Kabupaten/Kota, 2020",Kependudukan,12
2220,"Angka Kematian Bayi/AKB (Infant Mortality Rate/IMR) Hasil Long Form SP2020 Menurut Provinsi/Kabupaten/Kota, 2020",Kependudukan,12
2222,"Angka Kematian Balita (Under Five Mortality Rate/U5MR) Hasil Long Form SP2020 Menurut Provinsi/Kabupaten/Kota, 2020",Kependudukan,12
2213,"Angka Kelahiran Kasar (Crude Birth Rate) Hasil Long Form SP2020 Menurut Provinsi/Kabupaten/Kota, 2020",Kependudukan,12
2215,"Angka Kelahiran Hasil Long Form SP2020 Menurut Kelompok Umur Ibu (Age Spesific Fertility Rate/ASFR) dan Provinsi/Kabupaten/Kota, 2020",Kependudukan,12
2211,"Angka Kelahiran Total / Total Fertility Rate (TFR) Hasil Long Form (LF) SP2020 Menurut Provinsi/Kabupaten/Kota, 2020",Kependudukan,12
2200,"Rata-rata Pendapatan Bersih Berusaha Sendiri Menurut Provinsi dan Lapangan Pekerjaan Utama, 2022-2023",Upah Buruh,19
2198,"Rata-rata Pendapatan Bersih Pekerja Bebas Menurut Provinsi dan Kelompok Umur, 2022-2023",Upah Buruh,19
2193,"Rata-rata Upah/Gaji Bersih sebulan Buruh/Karyawan Pegawai Menurut Pendidikan Tertinggi dan Jumlah Jam Kerja Utama, 2022-2023",Upah Buruh,19
2227,"Rata-Rata Upah/Gaji Bersih Sebulan (rupiah) Buruh/Karyawan/Pegawai Menurut Pendidikan Tertinggi yang Ditamatkan dan Lapangan Pekerjaan Utama di 17 Sektor, 2023",Upah Buruh,19
2191,"Rata-rata Upah/Gaji Bersih Sebulan Buruh/Karyawan/Pegawai Menurut Kelompok Umur dan Jenis Pekerjaan, 2022-2023",Upah Buruh,19
2190,"Rata-rata Upah/Gaji Bersih Sebulan Buruh/Karyawan/Pegawai Menurut Provinsi dan Jenis Pekerjaan Utama, 2022-2023",Upah Buruh,19
1596,"Rata-Rata Harga Gabah Menurut Kelompok Kualitas dan HPP di Tingkat Petani dan Tingkat Penggilingan (Rupiah/kg), 2000-2022",Harga Produsen,36
2210,"Angka Kelahiran Total / Total Fertility Rate (TFR) Menurut Provinsi, 1971-2020",Kependudukan,12
2216,"Angka Kematian Bayi/AKB (Infant Mortality Rate/IMR) Menurut Provinsi , 1971-2020",Kependudukan,12
2214,Angka Kelahiran menurut Kelompok Umur Ibu (Age Spesific Fertility Rate/ASFR) Menurut Provinsi 1971-2020,Kependudukan,12
2212,"Angka Kelahiran Kasar (Crude Birth Rate/CBR) Menurut Provinsi, 1990-2020",Kependudukan,12
1701,"Jumlah Perusahaan Penangkapan Ikan Menurut Status Permodalan, 2000-2021",Perikanan,56
1702,"Jumlah Perusahaan Budidaya Perikanan Menurut Jenis Budidaya, 2000-2021",Perikanan,56
1555,"Persentase Rumah Tangga menurut Provinsi dan Sumber Penerangan Listrik PLN, 1993-2022",Perumahan,29
2201,"Rata-rata Pendapatan Bersih Berusaha Sendiri Menurut Provinsi dan Kelompok Umur, 2022",Upah Buruh,19
2199,"Rata-rata Pendapatan bersih Berusaha Sendiri menurut Provinsi dan Pendidikan yang Ditamatkan, 2022",Upah Buruh,19
2195,"Rata-rata Upah/Gaji Bersih Sebulan Buruh/Karyawan Pegawai Menurut Kelompok Umur dan Lapangan Pekerjaan Utama, 2022",Upah Buruh,19
2194,"Rata-rata Upah/Gaji Bersih Sebulan Buruh/Karyawan Pegawai Menurut Pendidikan Tertinggi dan Jenis Pekerjaan Utama, 2022",Upah Buruh,19
2202,"Penduduk Berumur 15 Tahun Ke Atas yang Bekerja Menurut Provinsi dan Status Pekerjaan Utama, 2022",Upah Buruh,19
2192,"Rata-rata Upah/Gaji Bersih sebulan Buruh/Karyawan Pegawai Menurut Pendidikan Tertinggi dan Lapangan Pekerjaan Utama, 2022",Upah Buruh,19
2189,"Rata-rata Upah/Gaji Bersih Sebulan Buruh/Karyawan/Pegawai Menurut Provinsi dan Lapangan Pekerjaan Utama, 2022",Upah Buruh,19
2207,Diagram Timbang Indeks Harga Produsen 2010=100,Harga Produsen,36
1940,"Persentase Rumah Tangga yang Menggunakan Lampu Hemat Energi Menurut Provinsi dan Daerah Tempat Tinggal, 2014, 2021",Lingkungan Hidup,152
1964,"Persentase Rumah Tangga Menurut Provinsi dan Sumber Penerangan, 2015-2021",Lingkungan Hidup,152
1360,"Persentase Rumah Tangga Menurut Provinsi dan Perlakuan Memilah Sampah Mudah Membusuk dan Tidak Mudah Membusuk, 2013-2014, 2021",Lingkungan Hidup,152
1359,"Persentase Rumah Tangga Menurut Provinsi dan Kepemilikan Kendaraan Bermotor, 2013-2014",Lingkungan Hidup,152
1358,"Persentase Rumah Tangga Menurut Provinsi dan KebiasaanMemanfaatkan Air Bekas untuk Keperluan Lain, 2013, 2014, 2017, 2021",Lingkungan Hidup,152
1363,"Persentase Rumah Tangga Menurut Provinsi dan Fasilitas Tempat Buang Air Besar, 2000-2021",Lingkungan Hidup,152
2050,"Persentase Rumah Tangga Menurut Provinsi dan Banyaknya Lampu Hemat Energi yang Terpasang di Rumah, 2013, 2017, 2021",Lingkungan Hidup,152
1364,"Persentase Rumah Tangga Menurut Provinsi dan Bahan Bakar Utama untuk Memasak Tahun 2001, 2007-2021",Lingkungan Hidup,152
2074,"Perkembangan Konsumsi Bahan Perusak Ozon di Indonesia menurut Senyawa Kimia dan Kode HS (Metrik Ton), 2015-2020",Lingkungan Hidup,152
2073,"Perbandingan Emisi Gas Rumah Kaca menurut Sektor dan Jenis Gas (ribu Ton CO2e), 2000 dan 2016",Lingkungan Hidup,152
2072,"Emisi Gas Rumah Kaca menurut Jenis Sektor (ribu ton CO2e), 2000-2019",Lingkungan Hidup,152
2102,"Rata-rata Upah/Gaji Bersih Sebulan Buruh/Karyawan/Pegawai Menurut Kelompok Umur dan Jenis Pekerjaan, 2020",Upah Buruh,19
1968,"Anggaran Kesehatan dari Direktorat Penyusunan APBN - Direktorat Jenderal Anggaran, Kementerian Keuangan",Kesehatan,30
1971,"Laporan Hasil Ujian Nasional SMP, SMA, dan SMK",Pendidikan,28
2008,Statistik Pendidikan Tahunan,Pendidikan,28
1711,"Produksi Perikanan Menurut Subsektor (ribu ton), 1999-2020*",Perikanan,56
1706,"Produksi Perikanan Budidaya Menurut Provinsi dan Jenis Budidaya, 2000-2020",Perikanan,56
1705,"Produksi Perikanan Tangkap Menurut Provinsi dan Jenis Penangkapan, 2000-2020",Perikanan,56
1842,"Ringkasan Profil Usaha Konstruksi Perorangan, 2013 - 2020",Konstruksi,4
1081,"Nilai Output Industri Besar dan Sedang (miliar rupiah), 2012-2019",Industri Besar dan Sedang,9
2075,"Rekapitulasi Laporan Posisi Keuangan Perusahaan Asuransi-Konvensional Menurut Jenis Usaha per 31 Desember (miliar rupiah), 2016-2021",Keuangan,13
1340,Rekapitulasi Laporan Posisi Keuangan Perusahaan Penyelenggara Program Asuransi Wajib dan BPJS Per 31 Desember (miliar rupiah) 2000-2021,Keuangan,13
1309,"Posisi Tabungan pada Bank Umum Menurut Jenis Tabungan1 (miliar rupiah), 2000-2021",Keuangan,13
2001,"Pemberian Kredit oleh Lembaga-Lembaga Keuangan Lainnya (miliar rupiah), 2015-2021",Keuangan,13
2082,"Bank dan Kantor Bank, 2014-2021",Keuangan,13
1707,"Jumlah Rumah Tangga Perikanan Budidaya Menurut Provinsi dan Jenis Budidaya, 2000-2016",Perikanan,56
